time,feet,centimeters,tide
2016-01-01 02:00:00 UTC,4.7,143,H
2016-01-01 09:00:00 UTC,0.2,6,L
2016-01-01 14:41:00 UTC,4.7,143,H
2016-01-01 21:13:00 UTC,0.7,21,L
2016-01-02 02:53:00 UTC,4.6,140,H
2016-01-02 09:45:00 UTC,0.3,9,L
2016-01-02 15:31:00 UTC,4.7,143,H
2016-01-02 22:09:00 UTC,0.8,24,L
2016-01-03 03:47:00 UTC,4.5,137,H
2016-01-03 10:31:00 UTC,0.4,12,L
2016-01-03 16:22:00 UTC,4.8,146,H
2016-01-03 23:06:00 UTC,0.7,21,L
2016-01-04 04:42:00 UTC,4.4,134,H
2016-01-04 11:19:00 UTC,0.4,12,L
2016-01-04 17:12:00 UTC,4.9,149,H
2016-01-05 00:03:00 UTC,0.6,18,L
2016-01-05 05:36:00 UTC,4.3,131,H
2016-01-05 12:08:00 UTC,0.4,12,L
2016-01-05 18:00:00 UTC,5.0,152,H
2016-01-06 00:58:00 UTC,0.4,12,L
2016-01-06 06:27:00 UTC,4.4,134,H
2016-01-06 12:57:00 UTC,0.3,9,L
2016-01-06 18:45:00 UTC,5.2,158,H
2016-01-07 01:50:00 UTC,0.2,6,L
2016-01-07 07:14:00 UTC,4.4,134,H
2016-01-07 13:46:00 UTC,0.2,6,L
2016-01-07 19:25:00 UTC,5.3,162,H
2016-01-08 02:39:00 UTC,0.1,3,L
2016-01-08 07:57:00 UTC,4.4,134,H
2016-01-08 14:33:00 UTC,0.1,3,L
2016-01-08 20:02:00 UTC,5.4,165,H
2016-01-09 03:26:00 UTC,-0.1,-3,L
2016-01-09 08:38:00 UTC,4.5,137,H
2016-01-09 15:20:00 UTC,0.0,0,L
2016-01-09 20:36:00 UTC,5.5,168,H
2016-01-10 04:12:00 UTC,-0.2,-6,L
2016-01-10 09:17:00 UTC,4.6,140,H
2016-01-10 16:07:00 UTC,-0.1,-3,L
2016-01-10 21:10:00 UTC,5.6,171,H
2016-01-11 04:56:00 UTC,-0.2,-6,L
2016-01-11 09:55:00 UTC,4.6,140,H
2016-01-11 16:54:00 UTC,-0.1,-3,L
2016-01-11 21:49:00 UTC,5.6,171,H
2016-01-12 05:41:00 UTC,-0.3,-9,L
2016-01-12 10:37:00 UTC,4.7,143,H
2016-01-12 17:43:00 UTC,-0.1,-3,L
2016-01-12 22:35:00 UTC,5.6,171,H
2016-01-13 06:26:00 UTC,-0.3,-9,L
2016-01-13 11:23:00 UTC,4.9,149,H
2016-01-13 18:34:00 UTC,-0.1,-3,L
2016-01-13 23:29:00 UTC,5.5,168,H
2016-01-14 07:13:00 UTC,-0.3,-9,L
2016-01-14 12:16:00 UTC,5.0,152,H
2016-01-14 19:28:00 UTC,-0.1,-3,L
2016-01-15 00:30:00 UTC,5.4,165,H
2016-01-15 08:01:00 UTC,-0.3,-9,L
2016-01-15 13:13:00 UTC,5.1,155,H
2016-01-15 20:26:00 UTC,0.0,0,L
2016-01-16 01:35:00 UTC,5.3,162,H
2016-01-16 08:53:00 UTC,-0.2,-6,L
2016-01-16 14:12:00 UTC,5.1,155,H
2016-01-16 21:27:00 UTC,0.0,0,L
2016-01-17 02:40:00 UTC,5.2,158,H
2016-01-17 09:48:00 UTC,-0.2,-6,L
