time,feet,centimeters,tide
2015-12-31 05:09:00 UTC,1.3,40,H
2015-12-31 11:42:00 UTC,0.1,3,L
2015-12-31 18:12:00 UTC,1.2,37,H
2016-01-01 00:02:00 UTC,0.4,12,L
2016-01-01 06:04:00 UTC,1.2,37,H
2016-01-01 12:32:00 UTC,0.2,6,L
2016-01-01 19:03:00 UTC,1.2,37,H
2016-01-02 01:15:00 UTC,0.4,12,L
2016-01-02 07:09:00 UTC,1.0,30,H
2016-01-02 13:20:00 UTC,0.3,9,L
2016-01-02 19:52:00 UTC,1.2,37,H
2016-01-03 02:29:00 UTC,0.3,9,L
2016-01-03 08:27:00 UTC,0.9,27,H
2016-01-03 14:09:00 UTC,0.4,12,L
2016-01-03 20:44:00 UTC,1.3,40,H
2016-01-04 03:34:00 UTC,0.2,6,L
2016-01-04 09:49:00 UTC,0.9,27,H
2016-01-04 14:57:00 UTC,0.4,12,L
2016-01-04 21:34:00 UTC,1.3,40,H
2016-01-05 04:30:00 UTC,0.1,3,L
2016-01-05 10:57:00 UTC,0.9,27,H
2016-01-05 15:42:00 UTC,0.4,12,L
2016-01-05 22:21:00 UTC,1.4,43,H
2016-01-06 05:16:00 UTC,-0.1,-3,L
2016-01-06 11:51:00 UTC,0.9,27,H
2016-01-06 16:25:00 UTC,0.4,12,L
2016-01-06 23:07:00 UTC,1.5,46,H
2016-01-07 05:58:00 UTC,-0.2,-6,L
2016-01-07 12:36:00 UTC,0.9,27,H
2016-01-07 17:07:00 UTC,0.3,9,L
2016-01-07 23:50:00 UTC,1.6,49,H
2016-01-08 06:36:00 UTC,-0.3,-9,L
2016-01-08 13:16:00 UTC,0.9,27,H
2016-01-08 17:47:00 UTC,0.3,9,L
2016-01-09 00:32:00 UTC,1.7,52,H
2016-01-09 07:14:00 UTC,-0.4,-12,L
2016-01-09 13:55:00 UTC,1.0,30,H
2016-01-09 18:29:00 UTC,0.2,6,L
2016-01-10 01:14:00 UTC,1.7,52,H
2016-01-10 07:52:00 UTC,-0.4,-12,L
2016-01-10 14:34:00 UTC,1.0,30,H
2016-01-10 19:12:00 UTC,0.2,6,L
2016-01-11 01:57:00 UTC,1.8,55,H
2016-01-11 08:30:00 UTC,-0.4,-12,L
2016-01-11 15:13:00 UTC,1.1,34,H
2016-01-11 19:58:00 UTC,0.1,3,L
2016-01-12 02:41:00 UTC,1.7,52,H
2016-01-12 09:10:00 UTC,-0.4,-12,L
2016-01-12 15:52:00 UTC,1.1,34,H
2016-01-12 20:48:00 UTC,0.1,3,L
2016-01-13 03:28:00 UTC,1.7,52,H
2016-01-13 09:52:00 UTC,-0.3,-9,L
2016-01-13 16:33:00 UTC,1.1,34,H
2016-01-13 21:42:00 UTC,0.1,3,L
2016-01-14 04:19:00 UTC,1.5,46,H
2016-01-14 10:35:00 UTC,-0.2,-6,L
2016-01-14 17:16:00 UTC,1.2,37,H
2016-01-14 22:43:00 UTC,0.1,3,L
2016-01-15 05:15:00 UTC,1.3,40,H
2016-01-15 11:20:00 UTC,-0.1,-3,L
2016-01-15 18:03:00 UTC,1.3,40,H
2016-01-15 23:53:00 UTC,0.1,3,L
2016-01-16 06:21:00 UTC,1.1,34,H
2016-01-16 12:09:00 UTC,0.0,0,L
2016-01-16 18:55:00 UTC,1.3,40,H
2016-01-17 01:11:00 UTC,0.0,0,L
2016-01-17 07:42:00 UTC,1.0,30,H
2016-01-17 13:03:00 UTC,0.1,3,L
2016-01-17 19:54:00 UTC,1.4,43,H
2016-01-18 02:31:00 UTC,-0.1,-3,L
2016-01-18 09:13:00 UTC,0.8,24,H
2016-01-18 14:01:00 UTC,0.2,6,L
2016-01-18 20:58:00 UTC,1.5,46,H
2016-01-19 03:45:00 UTC,-0.2,-6,L
2016-01-19 10:36:00 UTC,0.8,24,H
2016-01-19 15:01:00 UTC,0.2,6,L
2016-01-19 22:02:00 UTC,1.5,46,H
2016-01-20 04:50:00 UTC,-0.3,-9,L
2016-01-20 11:42:00 UTC,0.8,24,H
2016-01-20 16:00:00 UTC,0.2,6,L
2016-01-20 23:02:00 UTC,1.6,49,H
2016-01-21 05:45:00 UTC,-0.4,-12,L
2016-01-21 12:34:00 UTC,0.8,24,H
2016-01-21 16:55:00 UTC,0.2,6,L
2016-01-21 23:55:00 UTC,1.7,52,H
2016-01-22 06:33:00 UTC,-0.4,-12,L
2016-01-22 13:18:00 UTC,0.9,27,H
2016-01-22 17:47:00 UTC,0.1,3,L
2016-01-23 00:43:00 UTC,1.7,52,H
2016-01-23 07:16:00 UTC,-0.4,-12,L
2016-01-23 13:57:00 UTC,0.9,27,H
2016-01-23 18:36:00 UTC,0.1,3,L
2016-01-24 01:26:00 UTC,1.7,52,H
2016-01-24 07:56:00 UTC,-0.4,-12,L
2016-01-24 14:32:00 UTC,1.0,30,H
2016-01-24 19:22:00 UTC,0.0,0,L
2016-01-25 02:06:00 UTC,1.6,49,H
2016-01-25 08:33:00 UTC,-0.3,-9,L
2016-01-25 15:05:00 UTC,1.0,30,H
2016-01-25 20:07:00 UTC,0.0,0,L
2016-01-26 02:44:00 UTC,1.5,46,H
2016-01-26 09:09:00 UTC,-0.3,-9,L
2016-01-26 15:37:00 UTC,1.0,30,H
2016-01-26 20:52:00 UTC,0.1,3,L
2016-01-27 03:22:00 UTC,1.4,43,H
2016-01-27 09:44:00 UTC,-0.2,-6,L
2016-01-27 16:08:00 UTC,1.1,34,H
2016-01-27 21:38:00 UTC,0.1,3,L
2016-01-28 04:00:00 UTC,1.3,40,H
2016-01-28 10:19:00 UTC,-0.1,-3,L
2016-01-28 16:41:00 UTC,1.1,34,H
2016-01-28 22:26:00 UTC,0.1,3,L
2016-01-29 04:42:00 UTC,1.2,37,H
2016-01-29 10:54:00 UTC,0.0,0,L
2016-01-29 17:17:00 UTC,1.1,34,H
2016-01-29 23:20:00 UTC,0.1,3,L
2016-01-30 05:28:00 UTC,1.0,30,H
2016-01-30 11:30:00 UTC,0.1,3,L
2016-01-30 17:56:00 UTC,1.1,34,H
2016-01-31 00:21:00 UTC,0.1,3,L
2016-01-31 06:24:00 UTC,0.9,27,H
2016-01-31 12:10:00 UTC,0.2,6,L
2016-01-31 18:42:00 UTC,1.1,34,H
2016-02-01 01:31:00 UTC,0.1,3,L
2016-02-01 07:34:00 UTC,0.7,21,H
2016-02-01 12:56:00 UTC,0.3,9,L
2016-02-01 19:35:00 UTC,1.1,34,H
2016-02-02 02:44:00 UTC,0.1,3,L
2016-02-02 09:01:00 UTC,0.7,21,H
2016-02-02 13:50:00 UTC,0.3,9,L
2016-02-02 20:35:00 UTC,1.2,37,H
2016-02-03 03:49:00 UTC,0.0,0,L
2016-02-03 10:24:00 UTC,0.7,21,H
2016-02-03 14:49:00 UTC,0.4,12,L
2016-02-03 21:37:00 UTC,1.2,37,H
2016-02-04 04:44:00 UTC,-0.1,-3,L
2016-02-04 11:25:00 UTC,0.7,21,H
2016-02-04 15:46:00 UTC,0.3,9,L
2016-02-04 22:34:00 UTC,1.3,40,H
2016-02-05 05:30:00 UTC,-0.2,-6,L
2016-02-05 12:12:00 UTC,0.8,24,H
2016-02-05 16:37:00 UTC,0.2,6,L
2016-02-05 23:27:00 UTC,1.5,46,H
2016-02-06 06:11:00 UTC,-0.3,-9,L
2016-02-06 12:52:00 UTC,0.9,27,H
2016-02-06 17:26:00 UTC,0.2,6,L
2016-02-07 00:15:00 UTC,1.6,49,H
2016-02-07 06:50:00 UTC,-0.4,-12,L
2016-02-07 13:29:00 UTC,0.9,27,H
2016-02-07 18:14:00 UTC,0.1,3,L
2016-02-08 01:02:00 UTC,1.7,52,H
2016-02-08 07:28:00 UTC,-0.5,-15,L
2016-02-08 14:06:00 UTC,1.0,30,H
2016-02-08 19:02:00 UTC,0.0,0,L
2016-02-09 01:48:00 UTC,1.7,52,H
2016-02-09 08:06:00 UTC,-0.4,-12,L
2016-02-09 14:42:00 UTC,1.1,34,H
2016-02-09 19:51:00 UTC,-0.1,-3,L
2016-02-10 02:36:00 UTC,1.7,52,H
2016-02-10 08:45:00 UTC,-0.4,-12,L
2016-02-10 15:19:00 UTC,1.2,37,H
2016-02-10 20:42:00 UTC,-0.2,-6,L
2016-02-11 03:24:00 UTC,1.6,49,H
2016-02-11 09:24:00 UTC,-0.3,-9,L
2016-02-11 15:57:00 UTC,1.3,40,H
2016-02-11 21:36:00 UTC,-0.2,-6,L
2016-02-12 04:15:00 UTC,1.4,43,H
2016-02-12 10:04:00 UTC,-0.2,-6,L
2016-02-12 16:38:00 UTC,1.4,43,H
2016-02-12 22:35:00 UTC,-0.2,-6,L
2016-02-13 05:11:00 UTC,1.2,37,H
2016-02-13 10:47:00 UTC,-0.1,-3,L
2016-02-13 17:23:00 UTC,1.4,43,H
2016-02-13 23:41:00 UTC,-0.2,-6,L
2016-02-14 06:15:00 UTC,1.0,30,H
2016-02-14 11:34:00 UTC,0.1,3,L
2016-02-14 18:15:00 UTC,1.4,43,H
2016-02-15 00:55:00 UTC,-0.2,-6,L
2016-02-15 07:33:00 UTC,0.8,24,H
2016-02-15 12:27:00 UTC,0.2,6,L
2016-02-15 19:18:00 UTC,1.4,43,H
2016-02-16 02:14:00 UTC,-0.2,-6,L
2016-02-16 09:05:00 UTC,0.7,21,H
2016-02-16 13:30:00 UTC,0.2,6,L
2016-02-16 20:31:00 UTC,1.4,43,H
2016-02-17 03:32:00 UTC,-0.2,-6,L
2016-02-17 10:28:00 UTC,0.7,21,H
2016-02-17 14:40:00 UTC,0.3,9,L
2016-02-17 21:47:00 UTC,1.4,43,H
2016-02-18 04:39:00 UTC,-0.2,-6,L
2016-02-18 11:31:00 UTC,0.7,21,H
2016-02-18 15:47:00 UTC,0.2,6,L
2016-02-18 22:54:00 UTC,1.5,46,H
2016-02-19 05:33:00 UTC,-0.3,-9,L
2016-02-19 12:19:00 UTC,0.8,24,H
2016-02-19 16:48:00 UTC,0.2,6,L
2016-02-19 23:50:00 UTC,1.5,46,H
2016-02-20 06:18:00 UTC,-0.3,-9,L
