time,feet,centimeters,tide
2015-12-31 04:37:00 UTC,1.1,34,H
2015-12-31 14:26:00 UTC,0.1,3,L
2015-12-31 18:31:00 UTC,0.3,9,H
2015-12-31 22:36:00 UTC,0.3,9,L
2016-01-01 04:38:00 UTC,1.0,30,H
2016-01-01 14:30:00 UTC,0.2,6,L
2016-01-02 04:22:00 UTC,0.9,27,H
2016-01-02 14:14:00 UTC,0.2,6,L
2016-01-03 03:31:00 UTC,0.8,24,H
2016-01-03 13:55:00 UTC,0.2,6,L
2016-01-04 01:58:00 UTC,0.8,24,H
2016-01-04 13:27:00 UTC,0.1,3,L
2016-01-05 01:26:00 UTC,1.0,30,H
2016-01-05 12:44:00 UTC,0.1,3,L
2016-01-06 01:33:00 UTC,1.1,34,H
2016-01-06 12:07:00 UTC,0.0,0,L
2016-01-07 01:53:00 UTC,1.3,40,H
2016-01-07 11:57:00 UTC,-0.1,-3,L
2016-01-07 15:41:00 UTC,0.2,6,H
2016-01-07 19:56:00 UTC,0.1,3,L
2016-01-08 02:19:00 UTC,1.4,43,H
2016-01-08 12:06:00 UTC,-0.2,-6,L
2016-01-08 15:50:00 UTC,0.2,6,H
2016-01-08 20:40:00 UTC,0.1,3,L
2016-01-09 02:48:00 UTC,1.5,46,H
2016-01-09 12:25:00 UTC,-0.2,-6,L
2016-01-09 16:09:00 UTC,0.2,6,H
2016-01-09 21:16:00 UTC,0.1,3,L
2016-01-10 03:17:00 UTC,1.6,49,H
2016-01-10 12:49:00 UTC,-0.3,-9,L
2016-01-10 16:34:00 UTC,0.2,6,H
2016-01-10 21:47:00 UTC,0.1,3,L
2016-01-11 03:47:00 UTC,1.6,49,H
2016-01-11 13:16:00 UTC,-0.2,-6,L
2016-01-11 17:00:00 UTC,0.2,6,H
2016-01-11 22:13:00 UTC,0.1,3,L
2016-01-12 04:15:00 UTC,1.5,46,H
2016-01-12 13:43:00 UTC,-0.2,-6,L
2016-01-12 17:27:00 UTC,0.2,6,H
2016-01-12 22:35:00 UTC,0.1,3,L
2016-01-13 04:40:00 UTC,1.4,43,H
2016-01-13 14:07:00 UTC,-0.1,-3,L
2016-01-13 17:57:00 UTC,0.3,9,H
2016-01-13 22:49:00 UTC,0.2,6,L
2016-01-14 04:59:00 UTC,1.2,37,H
2016-01-14 14:25:00 UTC,0.0,0,L
2016-01-14 18:34:00 UTC,0.4,12,H
2016-01-14 22:48:00 UTC,0.3,9,L
2016-01-15 05:02:00 UTC,1.0,30,H
