time,feet,centimeters,tide
2015-12-31 04:37:00 UTC,11.3,344,H
2015-12-31 11:05:00 UTC,2.0,61,L
2015-12-31 17:52:00 UTC,15.8,482,H
2016-01-01 00:49:00 UTC,5.2,158,L
2016-01-01 05:42:00 UTC,10.4,317,H
2016-01-01 11:51:00 UTC,3.3,101,L
2016-01-01 18:37:00 UTC,15.4,469,H
2016-01-02 01:53:00 UTC,4.6,140,L
2016-01-02 07:00:00 UTC,10.0,305,H
2016-01-02 12:41:00 UTC,4.8,146,L
2016-01-02 19:18:00 UTC,15.1,460,H
2016-01-03 02:48:00 UTC,3.8,116,L
2016-01-03 08:33:00 UTC,10.1,308,H
2016-01-03 13:41:00 UTC,6.2,189,L
2016-01-03 20:01:00 UTC,14.7,448,H
2016-01-04 03:36:00 UTC,2.8,85,L
2016-01-04 10:13:00 UTC,10.9,332,H
2016-01-04 14:55:00 UTC,7.3,223,L
2016-01-04 20:44:00 UTC,14.4,439,H
2016-01-05 04:19:00 UTC,1.8,55,L
2016-01-05 11:28:00 UTC,12.0,366,H
2016-01-05 16:12:00 UTC,8.0,244,L
2016-01-05 21:27:00 UTC,14.3,436,H
2016-01-06 04:58:00 UTC,0.9,27,L
2016-01-06 12:19:00 UTC,13.1,399,H
2016-01-06 17:18:00 UTC,8.4,256,L
2016-01-06 22:08:00 UTC,14.2,433,H
2016-01-07 05:34:00 UTC,0.0,0,L
2016-01-07 12:58:00 UTC,14.1,430,H
2016-01-07 18:10:00 UTC,8.4,256,L
2016-01-07 22:48:00 UTC,14.2,433,H
2016-01-08 06:11:00 UTC,-0.8,-24,L
2016-01-08 13:30:00 UTC,14.8,451,H
2016-01-08 18:53:00 UTC,8.4,256,L
2016-01-08 23:28:00 UTC,14.3,436,H
2016-01-09 06:48:00 UTC,-1.5,-46,L
2016-01-09 14:00:00 UTC,15.4,469,H
2016-01-09 19:33:00 UTC,8.2,250,L
2016-01-10 00:09:00 UTC,14.4,439,H
2016-01-10 07:26:00 UTC,-2.0,-61,L
2016-01-10 14:31:00 UTC,16.0,488,H
2016-01-10 20:13:00 UTC,7.8,238,L
2016-01-11 00:51:00 UTC,14.4,439,H
2016-01-11 08:06:00 UTC,-2.2,-67,L
2016-01-11 15:03:00 UTC,16.4,500,H
2016-01-11 20:55:00 UTC,7.3,223,L
2016-01-12 01:37:00 UTC,14.2,433,H
2016-01-12 08:48:00 UTC,-2.0,-61,L
2016-01-12 15:38:00 UTC,16.7,509,H
2016-01-12 21:40:00 UTC,6.6,201,L
2016-01-13 02:27:00 UTC,13.9,424,H
2016-01-13 09:31:00 UTC,-1.4,-43,L
2016-01-13 16:15:00 UTC,16.9,515,H
2016-01-13 22:28:00 UTC,5.9,180,L
2016-01-14 03:23:00 UTC,13.3,405,H
2016-01-14 10:15:00 UTC,-0.4,-12,L
2016-01-14 16:53:00 UTC,17.0,518,H
2016-01-14 23:21:00 UTC,5.0,152,L
2016-01-15 04:25:00 UTC,12.6,384,H
2016-01-15 11:02:00 UTC,1.1,34,L
2016-01-15 17:34:00 UTC,16.9,515,H
2016-01-16 00:18:00 UTC,4.0,122,L
2016-01-16 05:36:00 UTC,11.8,360,H
2016-01-16 11:53:00 UTC,2.8,85,L
2016-01-16 18:18:00 UTC,16.6,506,H
2016-01-17 01:19:00 UTC,3.0,91,L
2016-01-17 07:01:00 UTC,11.3,344,H
2016-01-17 12:51:00 UTC,4.6,140,L
2016-01-17 19:06:00 UTC,16.3,497,H
2016-01-18 02:23:00 UTC,1.9,58,L
2016-01-18 08:42:00 UTC,11.5,351,H
2016-01-18 14:02:00 UTC,6.3,192,L
2016-01-18 19:57:00 UTC,15.9,485,H
2016-01-19 03:25:00 UTC,0.8,24,L
2016-01-19 10:26:00 UTC,12.4,378,H
2016-01-19 15:26:00 UTC,7.4,226,L
2016-01-19 20:51:00 UTC,15.6,475,H
2016-01-20 04:22:00 UTC,-0.2,-6,L
2016-01-20 11:43:00 UTC,13.7,418,H
2016-01-20 16:48:00 UTC,7.8,238,L
2016-01-20 21:46:00 UTC,15.3,466,H
2016-01-21 05:14:00 UTC,-1.0,-30,L
2016-01-21 12:39:00 UTC,14.8,451,H
2016-01-21 17:57:00 UTC,7.8,238,L
2016-01-21 22:40:00 UTC,15.0,457,H
2016-01-22 06:01:00 UTC,-1.5,-46,L
2016-01-22 13:24:00 UTC,15.6,475,H
2016-01-22 18:53:00 UTC,7.6,232,L
2016-01-22 23:30:00 UTC,14.8,451,H
2016-01-23 06:44:00 UTC,-1.7,-52,L
2016-01-23 14:01:00 UTC,16.0,488,H
2016-01-23 19:42:00 UTC,7.2,219,L
2016-01-24 00:18:00 UTC,14.5,442,H
2016-01-24 07:25:00 UTC,-1.6,-49,L
2016-01-24 14:34:00 UTC,16.2,494,H
2016-01-24 20:25:00 UTC,6.8,207,L
2016-01-25 01:05:00 UTC,14.1,430,H
2016-01-25 08:05:00 UTC,-1.2,-37,L
2016-01-25 15:04:00 UTC,16.2,494,H
2016-01-25 21:06:00 UTC,6.3,192,L
2016-01-26 01:50:00 UTC,13.7,418,H
2016-01-26 08:43:00 UTC,-0.5,-15,L
2016-01-26 15:32:00 UTC,16.1,491,H
2016-01-26 21:45:00 UTC,5.9,180,L
2016-01-27 02:36:00 UTC,13.1,399,H
2016-01-27 09:20:00 UTC,0.3,9,L
2016-01-27 16:01:00 UTC,16.0,488,H
2016-01-27 22:25:00 UTC,5.4,165,L
2016-01-28 03:23:00 UTC,12.6,384,H
2016-01-28 09:57:00 UTC,1.4,43,L
2016-01-28 16:31:00 UTC,15.8,482,H
2016-01-28 23:06:00 UTC,4.9,149,L
2016-01-29 04:14:00 UTC,11.9,363,H
2016-01-29 10:35:00 UTC,2.6,79,L
2016-01-29 17:04:00 UTC,15.6,475,H
2016-01-29 23:50:00 UTC,4.3,131,L
2016-01-30 05:10:00 UTC,11.3,344,H
2016-01-30 11:15:00 UTC,4.0,122,L
2016-01-30 17:39:00 UTC,15.2,463,H
2016-01-31 00:38:00 UTC,3.8,116,L
2016-01-31 06:15:00 UTC,10.9,332,H
2016-01-31 11:58:00 UTC,5.4,165,L
2016-01-31 18:18:00 UTC,14.7,448,H
2016-02-01 01:29:00 UTC,3.3,101,L
2016-02-01 07:35:00 UTC,10.7,326,H
2016-02-01 12:51:00 UTC,6.8,207,L
2016-02-01 19:01:00 UTC,14.2,433,H
2016-02-02 02:24:00 UTC,2.7,82,L
2016-02-02 09:15:00 UTC,11.1,338,H
2016-02-02 14:03:00 UTC,7.9,241,L
2016-02-02 19:48:00 UTC,13.8,421,H
2016-02-03 03:19:00 UTC,2.0,61,L
2016-02-03 10:50:00 UTC,12.0,366,H
2016-02-03 15:33:00 UTC,8.5,259,L
2016-02-03 20:40:00 UTC,13.5,411,H
2016-02-04 04:10:00 UTC,1.1,34,L
2016-02-04 11:48:00 UTC,13.0,396,H
2016-02-04 16:52:00 UTC,8.6,262,L
2016-02-04 21:32:00 UTC,13.5,411,H
